	CouponNumber,	CouponUID
	1324000001,	1324000001
	1324000002,	1324000002
	1324000003,	1324000003
	1324000004,	1324000004
	1324000005,	1324000005
	1324000006,	1324000006
	1324000007,	1324000007
	1324000008,	1324000008
	1324000009,	1324000009
	1324000010,	1324000010
	1324000011,	1324000011
	1324000012,	1324000012
	1324000013,	1324000013
	1324000014,	1324000014
	1324000015,	1324000015
	1324000016,	1324000016
	1324000017,	1324000017
	1324000018,	1324000018
	1324000019,	1324000019
	1324000020,	1324000020
	1324000021,	1324000021
	1324000022,	1324000022
	1324000023,	1324000023
	1324000024,	1324000024
	1324000025,	1324000025
	1324000026,	1324000026
	1324000027,	1324000027
	1324000028,	1324000028
	1324000029,	1324000029
	1324000030,	1324000030
	1324000031,	1324000031
	1324000032,	1324000032
	1324000033,	1324000033
	1324000034,	1324000034
	1324000035,	1324000035
	1324000036,	1324000036
	1324000037,	1324000037
	1324000038,	1324000038
	1324000039,	1324000039
	1324000040,	1324000040
	1324000041,	1324000041
	1324000042,	1324000042
	1324000043,	1324000043
	1324000044,	1324000044
	1324000045,	1324000045
	1324000046,	1324000046
	1324000047,	1324000047
	1324000048,	1324000048
	1324000049,	1324000049
	1324000050,	1324000050
	1324000051,	1324000051
	1324000052,	1324000052
	1324000053,	1324000053
	1324000054,	1324000054
	1324000055,	1324000055
	1324000056,	1324000056
	1324000057,	1324000057
	1324000058,	1324000058
	1324000059,	1324000059
	1324000060,	1324000060
	1324000061,	1324000061
	1324000062,	1324000062
	1324000063,	1324000063
	1324000064,	1324000064
	1324000065,	1324000065
	1324000066,	1324000066
	1324000067,	1324000067
	1324000068,	1324000068
	1324000069,	1324000069
	1324000070,	1324000070
	1324000071,	1324000071
	1324000072,	1324000072
	1324000073,	1324000073
	1324000074,	1324000074
	1324000075,	1324000075
	1324000076,	1324000076
	1324000077,	1324000077
	1324000078,	1324000078
	1324000079,	1324000079
	1324000080,	1324000080
	1324000081,	1324000081
	1324000082,	1324000082
	1324000083,	1324000083
	1324000084,	1324000084
	1324000085,	1324000085
	1324000086,	1324000086
	1324000087,	1324000087
	1324000088,	1324000088
	1324000089,	1324000089
	1324000090,	1324000090
	1324000091,	1324000091
	1324000092,	1324000092
	1324000093,	1324000093
