	CouponNumber,	CouponUID
	055100014,	055100014
	055100021,	055100021
	055100038,	055100038
	055100045,	055100045
	055100052,	055100052
	055100069,	055100069
	055100076,	055100076
	055100083,	055100083
	055100090,	055100090
	055100106,	055100106
	055100113,	055100113
	055100120,	055100120
	055100137,	055100137
	055100144,	055100144
	055100151,	055100151
	055100168,	055100168
	055100175,	055100175
	055100182,	055100182
	055100199,	055100199
	055100205,	055100205
	055100212,	055100212
	055100229,	055100229
	055100236,	055100236
	055100243,	055100243
	055100250,	055100250
	055100267,	055100267
	055100274,	055100274
	055100281,	055100281
	055100298,	055100298
	055100304,	055100304
	055100311,	055100311
	055100328,	055100328
	055100335,	055100335
	055100342,	055100342
	055100359,	055100359
	055100366,	055100366
	055100373,	055100373
	055100380,	055100380
	055100397,	055100397
	055100403,	055100403
	055100410,	055100410
	055100427,	055100427
	055100434,	055100434
	055100441,	055100441
	055100458,	055100458
	055100465,	055100465
	055100472,	055100472
	055100489,	055100489
	055100496,	055100496
	055100502,	055100502
	055100519,	055100519
	055100526,	055100526
	055100533,	055100533
	055100540,	055100540
	055100557,	055100557
	055100564,	055100564
	055100571,	055100571
	055100588,	055100588
	055100595,	055100595
	055100601,	055100601
	055100618,	055100618
	055100625,	055100625
	055100632,	055100632
	055100649,	055100649
	055100656,	055100656
	055100663,	055100663
	055100670,	055100670
	055100687,	055100687
	055100694,	055100694
	055100700,	055100700
	055100717,	055100717
	055100724,	055100724
	055100731,	055100731
	055100748,	055100748
	055100755,	055100755
	055100762,	055100762
	055100779,	055100779
	055100786,	055100786
	055100793,	055100793
	055100809,	055100809
	055100816,	055100816
	055100823,	055100823
	055100830,	055100830
	055100847,	055100847
	055100854,	055100854
	055100861,	055100861
	055100878,	055100878
	055100885,	055100885
	055100892,	055100892
	055100908,	055100908
	055100915,	055100915
	055100922,	055100922
	055100939,	055100939
	055100946,	055100946
	055100953,	055100953
	055100960,	055100960
	055100977,	055100977
	055100984,	055100984
	055100991,	055100991
	055101004,	055101004
	055101011,	055101011
	055101028,	055101028
	055101035,	055101035
	055101042,	055101042
	055101059,	055101059
	055101066,	055101066
	055101073,	055101073
	055101080,	055101080
	055101097,	055101097
	055101103,	055101103
	055101110,	055101110
	055101127,	055101127
	055101134,	055101134
	055101141,	055101141
	055101158,	055101158
	055101165,	055101165
	055101172,	055101172
	055101189,	055101189
	055101196,	055101196
	055101202,	055101202
	055101219,	055101219
	055101226,	055101226
	055101233,	055101233
	055101240,	055101240
	055101257,	055101257
	055101264,	055101264
	055101271,	055101271
	055101288,	055101288
	055101295,	055101295
	055101301,	055101301
	055101318,	055101318
	055101325,	055101325
	055101332,	055101332
	055101349,	055101349
	055101356,	055101356
	055101363,	055101363
	055101370,	055101370
	055101387,	055101387
	055101394,	055101394
	055101400,	055101400
	055101417,	055101417
	055101424,	055101424
	055101431,	055101431
	055101448,	055101448
	055101455,	055101455
	055101462,	055101462
	055101479,	055101479
	055101486,	055101486
	055101493,	055101493
	055101509,	055101509
	055101516,	055101516
	055101523,	055101523
	055101530,	055101530
	055101547,	055101547
	055101554,	055101554
	055101561,	055101561
	055101578,	055101578
	055101585,	055101585
	055101592,	055101592
	055101608,	055101608
	055101615,	055101615
	055101622,	055101622
	055101639,	055101639
	055101646,	055101646
	055101653,	055101653
	055101660,	055101660
	055101677,	055101677
	055101684,	055101684
	055101691,	055101691
	055101707,	055101707
	055101714,	055101714
	055101721,	055101721
	055101738,	055101738
	055101745,	055101745
	055101752,	055101752
	055101769,	055101769
	055101776,	055101776
	055101783,	055101783
	055101790,	055101790
	055101806,	055101806
	055101813,	055101813
	055101820,	055101820
	055101837,	055101837
	055101844,	055101844
	055101851,	055101851
	055101868,	055101868
	055101875,	055101875
	055101882,	055101882
	055101899,	055101899
	055101905,	055101905
	055101912,	055101912
	055101929,	055101929
	055101936,	055101936
	055101943,	055101943
	055101950,	055101950
	055101967,	055101967
	055101974,	055101974
	055101981,	055101981
	055101998,	055101998
	055102001,	055102001
	055102018,	055102018
	055102025,	055102025
	055102032,	055102032
	055102049,	055102049
	055102056,	055102056
	055102063,	055102063
	055102070,	055102070
	055102087,	055102087
	055102094,	055102094
	055102100,	055102100
	055102117,	055102117
	055102124,	055102124
	055102131,	055102131
	055102148,	055102148
	055102155,	055102155
	055102162,	055102162
	055102179,	055102179
	055102186,	055102186
	055102193,	055102193
	055102209,	055102209
	055102216,	055102216
	055102223,	055102223
	055102230,	055102230
	055102247,	055102247
	055102254,	055102254
	055102261,	055102261
	055102278,	055102278
	055102285,	055102285
	055102292,	055102292
	055102308,	055102308
	055102315,	055102315
	055102322,	055102322
	055102339,	055102339
	055102346,	055102346
	055102353,	055102353
	055102360,	055102360
	055102377,	055102377
	055102384,	055102384
	055102391,	055102391
	055102407,	055102407
	055102414,	055102414
	055102421,	055102421
	055102438,	055102438
	055102445,	055102445
	055102452,	055102452
	055102469,	055102469
	055102476,	055102476
	055102483,	055102483
	055102490,	055102490
	055102506,	055102506
	055102513,	055102513
	055102520,	055102520
	055102537,	055102537
	055102544,	055102544
	055102551,	055102551
	055102568,	055102568
	055102575,	055102575
	055102582,	055102582
	055102599,	055102599
	055102605,	055102605
	055102612,	055102612
	055102629,	055102629
	055102636,	055102636
	055102643,	055102643
	055102650,	055102650
	055102667,	055102667
	055102674,	055102674
	055102681,	055102681
	055102698,	055102698
	055102704,	055102704
	055102711,	055102711
	055102728,	055102728
	055102735,	055102735
	055102742,	055102742
	055102759,	055102759
	055102766,	055102766
	055102773,	055102773
	055102780,	055102780
	055102797,	055102797
	055102803,	055102803
	055102810,	055102810
	055102827,	055102827
	055102834,	055102834
	055102841,	055102841
	055102858,	055102858
	055102865,	055102865
	055102872,	055102872
	055102889,	055102889
	055102896,	055102896
	055102902,	055102902
	055102919,	055102919
	055102926,	055102926
	055102933,	055102933
	055102940,	055102940
	055102957,	055102957
	055102964,	055102964
	055102971,	055102971
	055102988,	055102988
	055102995,	055102995
	055103008,	055103008
	055103015,	055103015
	055103022,	055103022
	055103039,	055103039
	055103046,	055103046
	055103053,	055103053
	055103060,	055103060
	055103077,	055103077
	055103084,	055103084
	055103091,	055103091
	055103107,	055103107
	055103114,	055103114
	055103121,	055103121
	055103138,	055103138
	055103145,	055103145
	055103152,	055103152
	055103169,	055103169
	055103176,	055103176
	055103183,	055103183
	055103190,	055103190
	055103206,	055103206
	055103213,	055103213
	055103220,	055103220
	055103237,	055103237
	055103244,	055103244
	055103251,	055103251
	055103268,	055103268
	055103275,	055103275
	055103282,	055103282
	055103299,	055103299
	055103305,	055103305
	055103312,	055103312
	055103329,	055103329
	055103336,	055103336
	055103343,	055103343
	055103350,	055103350
	055103367,	055103367
	055103374,	055103374
	055103381,	055103381
	055103398,	055103398
	055103404,	055103404
	055103411,	055103411
	055103428,	055103428
	055103435,	055103435
	055103442,	055103442
	055103459,	055103459
	055103466,	055103466
	055103473,	055103473
	055103480,	055103480
	055103497,	055103497
	055103503,	055103503
	055103510,	055103510
	055103527,	055103527
	055103534,	055103534
	055103541,	055103541
	055103558,	055103558
	055103565,	055103565
	055103572,	055103572
	055103589,	055103589
	055103596,	055103596
